zipcode,prctForeign,%Uninsured,%vehicle,%foodStamp,%poverty,urban/rural
10314,6.463848281311735,5.697352824970368,5.182896191337554,35.32990912682734,9.4,1
10451,16.612479032491873,12.59085920188863,64.72365897599815,38.28822299074323,36.2,1
10452,24.899054298161726,14.161619381574752,65.16256995112276,34.221921156093934,39.4,1
10453,23.37051020915098,13.526504048884695,65.79219307310244,33.83178498683492,43.3,1
10454,17.294159946581743,16.819045662334993,68.99703359255993,32.970363141404285,46.9,1
10455,19.413731036256106,15.301900465181514,59.93890020366599,33.25229668762711,42.7,1
10456,20.0664423159893,11.600440072482526,60.62225313814146,32.111269307101566,40.8,1
10457,24.311579516281583,13.337386839616268,59.938483662219376,32.54830428320497,39.2,1
10458,23.721510930500134,15.012607407770078,65.76170376055256,33.04854464001567,37.5,1
10459,19.519719836571333,14.583507045776702,59.631666769668136,33.08179771533394,38.0,1
10460,19.54169847011582,12.358543789201208,36.43937942922812,33.14306574187768,41.6,1
10461,12.643518057904688,10.773057407223162,24.84787018255578,37.570391005870064,14.8,1
10462,16.245157192759606,10.179739599872976,46.274704374431494,37.39345824071133,19.9,1
10463,13.610673067530039,8.521149364332864,39.28672694622097,38.52659195891539,17.8,1
10464,2.511627906976744,8.0,7.829742511823437,43.95348837209303,4.1,1
10464,2.511627906976744,8.0,7.829742511823437,43.95348837209303,4.1,0
10465,5.530589543937708,6.998887652947721,11.73615368894339,34.809788654060064,13.5,1
10466,15.667527392002235,11.689580570870262,28.799474462144854,32.180891897550424,19.8,1
10467,20.73560095104081,13.187442379542919,47.10096093847498,34.80032995293318,29.9,1
10468,25.69866423077432,15.295815295815295,65.34542743538768,33.73843282100163,31.6,1
10469,14.337742799732084,9.418955123911587,20.91603551841212,30.44903996427774,14.8,1
10470,13.46919171126664,10.113901468368327,26.406295540658697,39.79689858652395,12.4,1
10471,7.953335493727143,4.722003610943938,17.378416950268967,39.87778343595204,10.6,1
10472,24.163428637708055,16.956156121324597,52.78683434249341,31.543234935916026,35.7,1
10473,10.152382801125885,8.319583292892037,32.29143542156906,33.818628878320226,29.6,1
10474,27.155475650746503,15.969670913780973,48.40465001236706,27.68701633705933,41.8,1
10475,7.526425171512213,5.119667478602874,28.250460405156534,41.7081945965273,10.7,1
10475,7.526425171512213,5.119667478602874,28.250460405156534,41.7081945965273,10.7,0
10501,1.3866231647634584,1.5497553017944536,0.0,31.402936378466556,1.1,1
10501,1.3866231647634584,1.5497553017944536,0.0,31.402936378466556,1.1,0
10502,7.709051333212407,4.788681298748413,0.4209049456331112,34.08307636495556,2.0,1
10503,0.0,0.0,0.0,62.77372262773723,8.8,1
10504,3.1760091104643804,2.6192585094268,0.5201204489460717,32.5066430469442,1.8,1
10504,3.1760091104643804,2.6192585094268,0.5201204489460717,32.5066430469442,1.8,1
10504,3.1760091104643804,2.6192585094268,0.5201204489460717,32.5066430469442,1.8,0
10505,0.44198895027624313,4.530386740331491,0.0,32.928176795580114,0.8,1
10506,2.716753312091229,0.9894348482307562,0.0,32.88613114204259,7.5,1
10506,2.716753312091229,0.9894348482307562,0.0,32.88613114204259,7.5,1
10506,2.716753312091229,0.9894348482307562,0.0,32.88613114204259,7.5,0
10507,18.442921708703892,12.552850269718618,2.1144278606965177,30.193905817174517,4.1,1
10507,18.442921708703892,12.552850269718618,2.1144278606965177,30.193905817174517,4.1,0
10509,8.635872084041402,10.623616046140379,5.675995270003941,34.7906689324888,5.8,1
10509,8.635872084041402,10.623616046140379,5.675995270003941,34.7906689324888,5.8,1
10509,8.635872084041402,10.623616046140379,5.675995270003941,34.7906689324888,5.8,0
10510,2.1682816847356805,2.350570852921424,0.5521201413427562,33.25338194377818,1.8,1
10510,2.1682816847356805,2.350570852921424,0.5521201413427562,33.25338194377818,1.8,0
10511,5.965532479010164,4.4631020768890854,2.201524132091448,35.660627485638535,6.4,1
10512,3.4933801244217575,5.854203222204498,2.41135943538901,36.401339926623066,4.8,1
10512,3.4933801244217575,5.854203222204498,2.41135943538901,36.401339926623066,4.8,0
10514,4.295397225725094,2.151639344262295,0.25862068965517243,31.116015132408574,3.2,1
10514,4.295397225725094,2.151639344262295,0.25862068965517243,31.116015132408574,3.2,0
10516,2.989427633977397,4.702880058330295,3.240261978628059,39.55523149835946,3.9,1
10516,2.989427633977397,4.702880058330295,3.240261978628059,39.55523149835946,3.9,0
10517,7.191780821917808,5.650684931506849,0.0,25.684931506849317,0.0,1
10518,0.9472259810554804,4.465493910690121,0.0,33.42354533152909,8.5,1
