,TeenBirthRate,ZipCode,TotalBirths2012-2014,PrematureBirth,LowBirthWeight
294,28.7,12534,572.0,12.1,8.2
296,32.7,13040,86.0,11.8,7.0
297,12.2,13045,815.0,8.3,6.9
298,16.3,13077,181.0,9.9,3.9
299,23.8,13101,75.0,13.5,8.0
300,,13141,29.0,3.4,0.0
301,25.2,13158,59.0,15.3,11.9
302,29.5,13803,150.0,17.1,6.0
303,,13863,12.0,16.7,8.3
305,23.5,12167,93.0,19.6,14.0
306,,12406,22.0,0.0,0.0
307,25.6,12430,28.0,10.7,0.0
308,12.6,12455,36.0,19.4,19.4
309,0.0,12474,23.0,4.3,4.3
310,18.0,12760,18.0,5.6,5.6
311,,13731,17.0,5.9,5.9
312,32.3,13739,27.0,14.8,11.1
313,,13750,53.0,15.1,9.4
314,,13751,11.0,9.1,0.0
315,,13752,19.0,0.0,0.0
316,3.6,13753,118.0,6.8,4.2
317,9.8,13755,27.0,11.1,7.4
318,20.8,13757,36.0,13.9,5.6
319,8.1,13775,24.0,12.5,4.2
320,,13782,24.0,20.8,16.7
321,11.9,13783,59.0,14.3,11.9
322,,13788,37.0,8.1,5.4
323,,13804,16.0,0.0,0.0
324,29.2,13838,157.0,8.9,8.3
325,32.5,13839,42.0,9.5,7.1
326,,13842,12.0,16.7,16.7
327,18.9,13856,177.0,8.5,6.2
329,13.5,12501,57.0,14.6,7.0
330,13.2,12508,618.0,7.1,7.6
331,3.1,12514,43.0,4.7,2.3
332,16.7,12522,131.0,11.0,9.2
333,2.4,12524,392.0,8.9,4.6
334,2.8,12531,73.0,8.5,2.7
335,3.7,12533,625.0,13.9,10.4
336,13.7,12538,353.0,12.2,9.6
337,2.2,12540,149.0,17.6,13.4
338,3.3,12545,112.0,12.7,7.1
339,8.1,12546,75.0,7.3,6.7
340,1.4,12564,160.0,11.3,8.1
341,21.6,12567,64.0,11.5,9.4
342,7.6,12569,237.0,10.6,7.6
343,3.8,12570,182.0,14.0,7.1
344,3.0,12571,190.0,9.6,6.8
345,8.0,12572,158.0,5.7,7.0
346,0.0,12578,44.0,4.5,2.3
347,10.0,12580,91.0,7.7,6.6
348,0.0,12581,50.0,2.2,4.0
349,1.9,12582,98.0,8.2,3.1
350,3.1,12583,39.0,2.6,5.1
351,8.9,12590,1039.0,9.8,6.8
352,28.6,12592,35.0,10.7,2.9
353,4.6,12594,92.0,6.2,6.5
354,16.6,12601,1676.0,12.6,8.6
355,10.5,12603,1222.0,10.2,7.2
357,8.3,12870,38.0,0.0,0.0
358,23.0,12883,122.0,9.9,4.9
359,0.0,12913,19.0,0.0,0.0
360,0.0,12928,34.0,0.0,0.0
361,9.0,12932,17.0,0.0,0.0
362,,12936,13.0,7.7,0.0
