,insured,zipcode,uninsured,totalPop,%Insured,%Uninsured,vehicle_none,vehicle_totalpop,%vehicle,foodStamp,%foodstamp,poverty,%poverty,citizen_pop,foreign_pop,%Foreign,urban/rural
854,2582,12074,97,2694,95.84261321455085,3.6005939123979216,30,1392,2.1551724137931036,1141,42.353377876763176,2692.0,99.92576095025983,2694.0,25.0,0.9279881217520415,0
855,2292,12075,356,2886,79.41787941787942,12.335412335412336,15,1433,1.04675505931612,1038,35.96673596673597,2625.0,90.95634095634095,2886.0,215.0,7.449757449757449,0
856,1303,12076,203,1506,86.52058432934928,13.479415670650729,13,605,2.1487603305785123,599,39.7742363877822,1506.0,100.0,1506.0,21.0,1.394422310756972,0
857,6209,12077,344,6579,94.37604499164006,5.228758169934641,0,3189,0.0,2480,37.69569843441252,6552.0,99.58960328317373,6579.0,162.0,2.462380300957592,1
858,6209,12077,344,6579,94.37604499164006,5.228758169934641,0,3189,0.0,2480,37.69569843441252,6552.0,99.58960328317373,6579.0,162.0,2.462380300957592,0
859,21111,12078,2191,23554,89.6280886473635,9.302029379298633,646,9231,6.998158379373849,9928,42.14995329880275,22961.0,97.48238091194702,23554.0,103.0,0.4372930287849197,1
860,21111,12078,2191,23554,89.6280886473635,9.302029379298633,646,9231,6.998158379373849,9928,42.14995329880275,22961.0,97.48238091194702,23554.0,103.0,0.4372930287849197,0
861,3607,12083,66,3673,98.20310372992105,1.7968962700789546,22,1677,1.311866428145498,1488,40.51184317996188,3673.0,100.0,3673.0,28.0,0.7623196297304655,0
862,3607,12083,66,3673,98.20310372992105,1.7968962700789546,22,1677,1.311866428145498,1488,40.51184317996188,3673.0,100.0,3673.0,28.0,0.7623196297304655,0
863,4420,12084,203,4740,93.24894514767934,4.282700421940929,54,2505,2.155688622754491,1999,42.17299578059072,4636.0,97.80590717299577,4740.0,978.0,20.632911392405063,1
864,4420,12084,203,4740,93.24894514767934,4.282700421940929,54,2505,2.155688622754491,1999,42.17299578059072,4636.0,97.80590717299577,4740.0,978.0,20.632911392405063,0
865,375,12085,40,520,72.11538461538461,7.6923076923076925,12,194,6.185567010309279,142,27.307692307692307,415.0,79.8076923076923,520.0,48.0,9.230769230769232,1
866,1488,12086,99,1587,93.76181474480151,6.238185255198488,3,693,0.4329004329004329,726,45.746691871455575,1587.0,100.0,1587.0,0.0,0.0,1
867,1488,12086,99,1587,93.76181474480151,6.238185255198488,3,693,0.4329004329004329,726,45.746691871455575,1587.0,100.0,1587.0,0.0,0.0,1
868,1488,12086,99,1587,93.76181474480151,6.238185255198488,3,693,0.4329004329004329,726,45.746691871455575,1587.0,100.0,1587.0,0.0,0.0,1
869,1488,12086,99,1587,93.76181474480151,6.238185255198488,3,693,0.4329004329004329,726,45.746691871455575,1587.0,100.0,1587.0,0.0,0.0,0
870,1488,12086,99,1587,93.76181474480151,6.238185255198488,3,693,0.4329004329004329,726,45.746691871455575,1587.0,100.0,1587.0,0.0,0.0,0
871,1488,12086,99,1587,93.76181474480151,6.238185255198488,3,693,0.4329004329004329,726,45.746691871455575,1587.0,100.0,1587.0,0.0,0.0,0
872,1031,12087,53,1084,95.11070110701108,4.889298892988929,0,536,0.0,339,31.273062730627306,1070.0,98.70848708487084,1084.0,0.0,0.0,0
873,1031,12087,53,1084,95.11070110701108,4.889298892988929,0,536,0.0,339,31.273062730627306,1070.0,98.70848708487084,1084.0,0.0,0.0,0
874,95,12089,33,128,74.21875,25.78125,0,119,0.0,64,50.0,128.0,100.0,128.0,0.0,0.0,0
875,5824,12090,364,6262,93.00542957521559,5.812839348450974,46,2930,1.5699658703071673,2339,37.35228361545832,6188.0,98.81826892366657,6262.0,47.0,0.7505589268604279,1
876,5824,12090,364,6262,93.00542957521559,5.812839348450974,46,2930,1.5699658703071673,2339,37.35228361545832,6188.0,98.81826892366657,6262.0,47.0,0.7505589268604279,0
877,693,12092,28,721,96.11650485436894,3.8834951456310676,0,311,0.0,334,46.3245492371706,721.0,100.0,721.0,15.0,2.0804438280166435,0
878,1575,12093,168,1743,90.36144578313254,9.63855421686747,3,682,0.43988269794721413,694,39.81640849110729,1740.0,99.82788296041308,1743.0,8.0,0.45897877223178424,0
879,1575,12093,168,1743,90.36144578313254,9.63855421686747,3,682,0.43988269794721413,694,39.81640849110729,1740.0,99.82788296041308,1743.0,8.0,0.45897877223178424,0
880,2369,12094,112,2481,95.48569125352681,4.514308746473196,0,1233,0.0,863,34.784361144699716,2481.0,100.0,2481.0,0.0,0.0,0
881,10744,12095,1091,12370,86.85529506871464,8.819725141471302,323,5720,5.646853146853147,4820,38.96523848019402,11780.0,95.2303961196443,12370.0,165.0,1.333872271624899,1
882,10744,12095,1091,12370,86.85529506871464,8.819725141471302,323,5720,5.646853146853147,4820,38.96523848019402,11780.0,95.2303961196443,12370.0,165.0,1.333872271624899,1
883,10744,12095,1091,12370,86.85529506871464,8.819725141471302,323,5720,5.646853146853147,4820,38.96523848019402,11780.0,95.2303961196443,12370.0,165.0,1.333872271624899,1
884,10744,12095,1091,12370,86.85529506871464,8.819725141471302,323,5720,5.646853146853147,4820,38.96523848019402,11780.0,95.2303961196443,12370.0,165.0,1.333872271624899,1
885,10744,12095,1091,12370,86.85529506871464,8.819725141471302,323,5720,5.646853146853147,4820,38.96523848019402,11780.0,95.2303961196443,12370.0,165.0,1.333872271624899,0
886,10744,12095,1091,12370,86.85529506871464,8.819725141471302,323,5720,5.646853146853147,4820,38.96523848019402,11780.0,95.2303961196443,12370.0,165.0,1.333872271624899,0
887,2343,12106,86,2432,96.34046052631578,3.5361842105263155,4,1264,0.31645569620253167,1093,44.942434210526315,2432.0,100.0,2432.0,127.0,5.222039473684211,1
888,2343,12106,86,2432,96.34046052631578,3.5361842105263155,4,1264,0.31645569620253167,1093,44.942434210526315,2432.0,100.0,2432.0,127.0,5.222039473684211,0
889,294,12108,8,307,95.76547231270358,2.6058631921824107,0,120,0.0,132,42.99674267100978,302.0,98.37133550488599,307.0,1.0,0.32573289902280134,0
890,20882,12110,773,22471,92.92866361087624,3.439989319567442,266,10357,2.5683112870522353,7534,33.52765787014374,19398.0,86.32459614614392,22471.0,1056.0,4.699390325308174,1
891,20882,12110,773,22471,92.92866361087624,3.439989319567442,266,10357,2.5683112870522353,7534,33.52765787014374,19398.0,86.32459614614392,22471.0,1056.0,4.699390325308174,0
892,201,12115,24,225,89.33333333333333,10.666666666666668,0,100,0.0,105,46.666666666666664,225.0,100.0,225.0,21.0,9.333333333333334,0
893,1785,12116,116,1901,93.89794844818516,6.102051551814834,0,861,0.0,852,44.818516570226194,1894.0,99.63177275118359,1901.0,24.0,1.2624934245134138,0
894,3261,12117,231,3492,93.38487972508591,6.61512027491409,96,1585,6.056782334384858,1444,41.3516609392898,3459.0,99.05498281786942,3492.0,14.0,0.40091638029782356,1
895,3261,12117,231,3492,93.38487972508591,6.61512027491409,96,1585,6.056782334384858,1444,41.3516609392898,3459.0,99.05498281786942,3492.0,14.0,0.40091638029782356,0
896,13505,12118,690,14195,95.13913349771046,4.8608665022895385,86,6690,1.2855007473841555,5957,41.96548080309968,14022.0,98.78126100739696,14195.0,222.0,1.5639309616061994,1
897,13505,12118,690,14195,95.13913349771046,4.8608665022895385,86,6690,1.2855007473841555,5957,41.96548080309968,14022.0,98.78126100739696,14195.0,222.0,1.5639309616061994,1
898,13505,12118,690,14195,95.13913349771046,4.8608665022895385,86,6690,1.2855007473841555,5957,41.96548080309968,14022.0,98.78126100739696,14195.0,222.0,1.5639309616061994,1
899,13505,12118,690,14195,95.13913349771046,4.8608665022895385,86,6690,1.2855007473841555,5957,41.96548080309968,14022.0,98.78126100739696,14195.0,222.0,1.5639309616061994,1
900,13505,12118,690,14195,95.13913349771046,4.8608665022895385,86,6690,1.2855007473841555,5957,41.96548080309968,14022.0,98.78126100739696,14195.0,222.0,1.5639309616061994,0
901,13505,12118,690,14195,95.13913349771046,4.8608665022895385,86,6690,1.2855007473841555,5957,41.96548080309968,14022.0,98.78126100739696,14195.0,222.0,1.5639309616061994,0
902,510,12120,25,535,95.32710280373831,4.672897196261682,0,223,0.0,227,42.429906542056074,535.0,100.0,535.0,0.0,0.0,0
903,1813,12121,41,1854,97.78856526429341,2.2114347357065802,0,899,0.0,697,37.594390507011866,1844.0,99.46062567421791,1854.0,14.0,0.7551240560949299,0
904,4330,12122,232,4562,94.91451117930733,5.085488820692679,29,1950,1.4871794871794872,2027,44.43226654975888,4548.0,99.69311705392371,4562.0,11.0,0.24112231477422183,0
905,4330,12122,232,4562,94.91451117930733,5.085488820692679,29,1950,1.4871794871794872,2027,44.43226654975888,4548.0,99.69311705392371,4562.0,11.0,0.24112231477422183,0
906,4992,12123,132,5159,96.76293855398333,2.55863539445629,25,2928,0.853825136612022,2101,40.72494669509595,5139.0,99.61232797053692,5159.0,22.0,0.42643923240938164,1
907,4992,12123,132,5159,96.76293855398333,2.55863539445629,25,2928,0.853825136612022,2101,40.72494669509595,5139.0,99.61232797053692,5159.0,22.0,0.42643923240938164,1
908,4992,12123,132,5159,96.76293855398333,2.55863539445629,25,2928,0.853825136612022,2101,40.72494669509595,5139.0,99.61232797053692,5159.0,22.0,0.42643923240938164,0
909,4992,12123,132,5159,96.76293855398333,2.55863539445629,25,2928,0.853825136612022,2101,40.72494669509595,5139.0,99.61232797053692,5159.0,22.0,0.42643923240938164,0
910,601,12124,14,615,97.72357723577237,2.2764227642276422,0,284,0.0,256,41.6260162601626,615.0,100.0,615.0,0.0,0.0,1
911,601,12124,14,615,97.72357723577237,2.2764227642276422,0,284,0.0,256,41.6260162601626,615.0,100.0,615.0,0.0,0.0,0
912,1335,12125,156,1491,89.53722334004024,10.46277665995976,6,758,0.79155672823219,604,40.50972501676727,1485.0,99.59758551307847,1491.0,46.0,3.085177733065057,0
913,970,12130,0,970,100.0,0.0,0,597,0.0,394,40.618556701030926,970.0,100.0,970.0,0.0,0.0,1
914,134,12131,1,135,99.25925925925925,0.7407407407407408,2,49,4.081632653061225,46,34.074074074074076,135.0,100.0,135.0,0.0,0.0,0
915,243,12132,76,319,76.17554858934169,23.824451410658305,24,51,47.05882352941176,123,38.557993730407524,294.0,92.16300940438872,319.0,77.0,24.137931034482758,0
916,3369,12134,336,3714,90.7108239095315,9.046849757673666,19,1730,1.0982658959537572,1461,39.337641357027465,3698.0,99.56919763058697,3714.0,18.0,0.48465266558966075,0
917,3369,12134,336,3714,90.7108239095315,9.046849757673666,19,1730,1.0982658959537572,1461,39.337641357027465,3698.0,99.56919763058697,3714.0,18.0,0.48465266558966075,0
918,3369,12134,336,3714,90.7108239095315,9.046849757673666,19,1730,1.0982658959537572,1461,39.337641357027465,3698.0,99.56919763058697,3714.0,18.0,0.48465266558966075,0
919,672,12136,44,716,93.85474860335195,6.145251396648044,0,396,0.0,326,45.530726256983236,716.0,100.0,716.0,21.0,2.9329608938547485,0
920,1766,12137,133,1904,92.75210084033614,6.985294117647059,0,986,0.0,675,35.45168067226891,1895.0,99.52731092436974,1904.0,0.0,0.0,0
921,1766,12137,133,1904,92.75210084033614,6.985294117647059,0,986,0.0,675,35.45168067226891,1895.0,99.52731092436974,1904.0,0.0,0.0,0
922,3209,12138,118,3327,96.45326119627292,3.5467388037270813,15,1608,0.9328358208955223,1337,40.1863540727382,3321.0,99.81965734896303,3327.0,46.0,1.3826269912834386,0
923,208,12139,70,278,74.82014388489209,25.179856115107913,0,98,0.0,71,25.539568345323744,278.0,100.0,278.0,7.0,2.5179856115107913,0
924,1444,12140,20,1464,98.63387978142076,1.366120218579235,0,773,0.0,645,44.05737704918033,1464.0,100.0,1464.0,0.0,0.0,1
925,1444,12140,20,1464,98.63387978142076,1.366120218579235,0,773,0.0,645,44.05737704918033,1464.0,100.0,1464.0,0.0,0.0,0
926,4281,12143,509,4790,89.37369519832986,10.626304801670146,58,2336,2.482876712328767,2040,42.58872651356994,4744.0,99.03966597077243,4790.0,24.0,0.5010438413361169,1
927,4281,12143,509,4790,89.37369519832986,10.626304801670146,58,2336,2.482876712328767,2040,42.58872651356994,4744.0,99.03966597077243,4790.0,24.0,0.5010438413361169,1
928,4281,12143,509,4790,89.37369519832986,10.626304801670146,58,2336,2.482876712328767,2040,42.58872651356994,4744.0,99.03966597077243,4790.0,24.0,0.5010438413361169,0
929,4281,12143,509,4790,89.37369519832986,10.626304801670146,58,2336,2.482876712328767,2040,42.58872651356994,4744.0,99.03966597077243,4790.0,24.0,0.5010438413361169,0
930,18587,12144,921,19622,94.72530832738762,4.693711140556518,357,9827,3.632848275160273,8515,43.395168688207114,19486.0,99.30690041789828,19622.0,472.0,2.4054632555295075,1
931,18587,12144,921,19622,94.72530832738762,4.693711140556518,357,9827,3.632848275160273,8515,43.395168688207114,19486.0,99.30690041789828,19622.0,472.0,2.4054632555295075,0
932,572,12147,19,591,96.78510998307954,3.2148900169204735,8,245,3.2653061224489797,225,38.07106598984771,553.0,93.57021996615906,591.0,8.0,1.353637901861252,0
933,4312,12148,119,4449,96.92065632726455,2.6747583726680153,0,2220,0.0,1753,39.4021128343448,4449.0,100.0,4449.0,266.0,5.978871656552035,1
934,4312,12148,119,4449,96.92065632726455,2.6747583726680153,0,2220,0.0,1753,39.4021128343448,4449.0,100.0,4449.0,266.0,5.978871656552035,0
935,2365,12149,60,2425,97.52577319587628,2.4742268041237114,47,1021,4.603330068560235,934,38.51546391752577,2414.0,99.54639175257732,2425.0,11.0,0.4536082474226804,1
936,2365,12149,60,2425,97.52577319587628,2.4742268041237114,47,1021,4.603330068560235,934,38.51546391752577,2414.0,99.54639175257732,2425.0,11.0,0.4536082474226804,1
937,2365,12149,60,2425,97.52577319587628,2.4742268041237114,47,1021,4.603330068560235,934,38.51546391752577,2414.0,99.54639175257732,2425.0,11.0,0.4536082474226804,0
938,2365,12149,60,2425,97.52577319587628,2.4742268041237114,47,1021,4.603330068560235,934,38.51546391752577,2414.0,99.54639175257732,2425.0,11.0,0.4536082474226804,0
939,812,12150,78,890,91.23595505617978,8.764044943820224,0,505,0.0,282,31.685393258426963,890.0,100.0,890.0,90.0,10.112359550561797,1
940,812,12150,78,890,91.23595505617978,8.764044943820224,0,505,0.0,282,31.685393258426963,890.0,100.0,890.0,90.0,10.112359550561797,0
941,627,12151,33,660,95.0,5.0,10,357,2.801120448179272,316,47.878787878787875,660.0,100.0,660.0,11.0,1.6666666666666667,1
942,627,12151,33,660,95.0,5.0,10,357,2.801120448179272,316,47.878787878787875,660.0,100.0,660.0,11.0,1.6666666666666667,0
943,972,12153,66,1038,93.64161849710982,6.358381502890173,0,541,0.0,367,35.35645472061657,1029.0,99.13294797687861,1038.0,0.0,0.0,0
944,2474,12154,165,2639,93.74763167866617,6.252368321333838,7,1309,0.53475935828877,1022,38.726790450928384,2598.0,98.4463812050019,2639.0,8.0,0.30314513073133764,1
945,2474,12154,165,2639,93.74763167866617,6.252368321333838,7,1309,0.53475935828877,1022,38.726790450928384,2598.0,98.4463812050019,2639.0,8.0,0.30314513073133764,1
946,2474,12154,165,2639,93.74763167866617,6.252368321333838,7,1309,0.53475935828877,1022,38.726790450928384,2598.0,98.4463812050019,2639.0,8.0,0.30314513073133764,0
947,2474,12154,165,2639,93.74763167866617,6.252368321333838,7,1309,0.53475935828877,1022,38.726790450928384,2598.0,98.4463812050019,2639.0,8.0,0.30314513073133764,0
948,1904,12155,76,1980,96.16161616161617,3.8383838383838382,3,971,0.30895983522142123,731,36.91919191919192,1978.0,99.8989898989899,1980.0,1.0,0.050505050505050504,0
949,1904,12155,76,1980,96.16161616161617,3.8383838383838382,3,971,0.30895983522142123,731,36.91919191919192,1978.0,99.8989898989899,1980.0,1.0,0.050505050505050504,0
950,1069,12156,63,1132,94.43462897526503,5.565371024734982,0,503,0.0,375,33.12720848056537,1132.0,100.0,1132.0,5.0,0.441696113074205,0
951,1069,12156,63,1132,94.43462897526503,5.565371024734982,0,503,0.0,375,33.12720848056537,1132.0,100.0,1132.0,5.0,0.441696113074205,0
952,3793,12157,106,3951,96.00101240192357,2.682865097443685,8,1616,0.49504950495049505,1661,42.039989875980766,3871.0,97.97519615287268,3951.0,28.0,0.7086813464945584,0
953,3793,12157,106,3951,96.00101240192357,2.682865097443685,8,1616,0.49504950495049505,1661,42.039989875980766,3871.0,97.97519615287268,3951.0,28.0,0.7086813464945584,0
954,3793,12157,106,3951,96.00101240192357,2.682865097443685,8,1616,0.49504950495049505,1661,42.039989875980766,3871.0,97.97519615287268,3951.0,28.0,0.7086813464945584,0
955,6980,12158,110,7090,98.44851904090268,1.5514809590973202,33,3877,0.8511735878256383,2547,35.92383638928068,7090.0,100.0,7090.0,58.0,0.8180535966149507,1
956,6980,12158,110,7090,98.44851904090268,1.5514809590973202,33,3877,0.8511735878256383,2547,35.92383638928068,7090.0,100.0,7090.0,58.0,0.8180535966149507,1
957,6980,12158,110,7090,98.44851904090268,1.5514809590973202,33,3877,0.8511735878256383,2547,35.92383638928068,7090.0,100.0,7090.0,58.0,0.8180535966149507,0
958,7664,12159,224,7968,96.18473895582329,2.8112449799196786,41,4035,1.0161090458488227,3291,41.30271084337349,7888.0,98.99598393574297,7968.0,173.0,2.1711847389558234,1
959,7664,12159,224,7968,96.18473895582329,2.8112449799196786,41,4035,1.0161090458488227,3291,41.30271084337349,7888.0,98.99598393574297,7968.0,173.0,2.1711847389558234,0
960,822,12160,124,946,86.89217758985201,13.107822410147993,3,420,0.7142857142857143,344,36.36363636363637,946.0,100.0,946.0,7.0,0.7399577167019027,0
961,822,12160,124,946,86.89217758985201,13.107822410147993,3,420,0.7142857142857143,344,36.36363636363637,946.0,100.0,946.0,7.0,0.7399577167019027,0
962,63,12161,14,77,81.81818181818183,18.181818181818183,0,29,0.0,28,36.36363636363637,77.0,100.0,77.0,0.0,0.0,0
963,382,12164,35,417,91.60671462829735,8.393285371702639,0,202,0.0,73,17.505995203836928,417.0,100.0,417.0,0.0,0.0,0
